user_id,username,country
u001,anagalaxy,MX
u002,beats4life,US
u003,soundwave,MX
u004,musiclover,CO
u005,rhythmrider,AR
u006,dj_echo,ES
u007,synthwave_soul,BR
u008,bass_head,CL
u009,melody_maker,MX
u010,vinyl_junkie,US
u011,groove_master,CO
u012,audio_alchemy,AR
u013,static_noise,ES
u014,dubstep_demon,BR
u015,pop_princess,CL
u016,rock_rebel,MX
u017,jazz_cat,US
u018,classical_calm,CO
u019,folk_fanatic,AR
u020,metal_maniac,ES
u021,electro_swing,BR
u022,ambient_aura,CL
u023,reggae_rhythm,MX
u024,hiphop_hero,US
u025,techno_titan,DE
